,Date,Rating
0,2020-03-08,2193
3,2020-02-17,2211
4,2020-02-09,2201
5,2020-01-31,2195
6,2020-01-20,2185
8,2019-08-25,2183
9,2019-08-18,2164
10,2019-08-10,2167
12,2019-05-27,2177
14,2019-03-17,2175
16,2019-03-10,2136
18,2019-02-24,2114
19,2019-02-15,2079
21,2019-01-11,2062
24,2018-12-30,2044
25,2018-12-14,2043
28,2018-11-16,2036
29,2018-10-26,2030
33,2018-08-31,2014
34,2018-08-26,1996
36,2018-08-19,1991
37,2018-08-17,1991
38,2018-07-15,1987
39,2018-04-29,1984
41,2018-03-09,1940
42,2018-03-04,1942
44,2018-02-09,1943
46,2018-01-26,1926
49,2017-11-03,1923
50,2017-10-20,1923
54,2017-06-23,1921
55,2017-05-29,1932
57,2017-03-31,1928
58,2017-03-12,1927
60,2017-02-03,1908
62,2016-12-09,1900
63,2016-11-18,1910
64,2016-11-11,1891
66,2016-10-10,1900
67,2016-09-30,1884
69,2016-09-16,1900
70,2016-09-09,1886
71,2016-08-26,1872
72,2016-07-29,1872
73,2016-07-29,1868
74,2016-07-15,1868
75,2016-07-08,1846
76,2016-06-24,1836
78,2016-06-10,1834
79,2016-06-05,1841
80,2016-05-27,1856
81,2016-05-22,1860
82,2016-04-29,1859
83,2016-03-25,1841
84,2016-03-20,1832
85,2016-03-20,1837
86,2016-02-26,1851
87,2016-02-19,1841
88,2016-02-05,1834
89,2016-01-31,1842
90,2016-01-29,1829
91,2016-01-08,1844
92,2015-12-18,1840
93,2015-12-11,1856
94,2015-12-06,1848
95,2015-12-04,1900
96,2015-11-20,1881
97,2015-11-20,1881
98,2015-11-13,1882
99,2015-10-30,1847
100,2015-10-30,1850
101,2015-10-25,1867
102,2015-10-23,1851
103,2015-10-17,1832
105,2015-09-27,1859
106,2015-09-25,1837
107,2015-09-25,1814
108,2015-09-07,1831
109,2015-09-07,1847
113,2015-08-28,1823
118,2015-07-31,1819
119,2015-06-26,1808
122,2015-06-07,1820
123,2015-05-29,1802
124,2015-05-10,1798
125,2015-04-24,1788
126,2015-03-27,1767
127,2015-03-22,1760
128,2015-03-15,1718
129,2015-03-15,1720
130,2015-02-27,1707
131,2015-02-01,1720
132,2015-01-30,1735
133,2014-12-28,1727
134,2014-12-21,1656
135,2014-12-19,1659
136,2014-11-21,1654
137,2014-11-09,1671
138,2014-10-31,1646
139,2014-10-05,1668
140,2014-09-26,1658
141,2014-07-25,1645
142,2014-05-30,1605
143,2014-04-25,1606
144,2014-03-28,1544
145,2014-02-28,1529
146,2014-01-31,1449
147,2013-12-20,1450
148,2013-12-14,1370
149,2013-12-01,1408
150,2013-11-22,1379
151,2013-11-16,1283
152,2013-10-25,1274
153,2013-10-05,1221
154,2013-06-08,1235
155,2013-05-05,1246
156,2013-04-13,1274
157,2013-04-07,1266
158,2013-03-10,1320
159,2013-03-02,1227
160,2013-02-02,1217
161,2013-01-12,1210
162,2013-01-06,1177
163,2012-12-08,1188
164,2012-11-04,1149
165,2012-10-27,1147
166,2012-09-29,1181
167,2012-08-25,1198
168,2012-08-18,1222
169,2012-08-11,1109
170,2012-08-04,1108
171,2012-07-28,1093
172,2012-07-21,1072
173,2012-07-14,1018
174,2012-07-07,997
175,2012-06-23,871
176,2012-04-21,925
177,2012-03-31,903
178,2012-03-24,852
179,2012-02-25,934
180,2012-02-11,837
181,2012-01-28,822
182,2012-01-07,895
183,2011-12-17,814
184,2011-11-13,850
