Date,Rating
2020-03-08,1745
2020-03-06,
2020-02-08,1748
2019-12-30,1779
2019-11-27,1815
2019-09-01,1799
2019-08-25,1770
2019-07-20,1784
2019-05-27,1806
2019-04-21,1844
2019-03-24,1836
2019-03-10,1810
2019-03-08,
2019-02-24,1813
2019-02-03,1816
2019-01-27,1826
2018-12-30,1804
2018-12-22,1807
2018-11-18,1819
2018-10-21,1820
2018-08-26,1815
2018-08-19,1792
2018-07-22,1781
2018-07-15,1767
2018-06-17,1756
2018-06-10,1762
2018-05-28,1744
2018-05-28,1734
2018-05-20,1738
2018-05-13,1744
2018-04-29,1741
2018-03-31,1744
2018-03-25,1728
2018-03-18,1744
2018-03-04,1734
2018-03-02,
2018-02-18,1748
2018-02-17,1748
2018-02-10,1717
2018-01-28,1715
2018-01-20,1715
2018-01-15,1656
2018-01-07,1647
2017-12-30,1629
2017-11-19,1564
2017-11-12,1571
2017-11-04,1564
2017-10-28,1592
2017-10-22,1584
2017-10-09,1599
2017-09-10,1604
2017-09-10,
2017-06-18,1623
2017-06-03,1613
2017-05-29,1557
2017-05-21,1540
2017-05-14,1529
2017-04-23,1571
2017-04-08,1570
2017-04-01,1606
2017-03-26,1613
2017-03-19,1649
2017-03-12,1623
2017-03-10,
2017-03-04,1574
2017-02-26,1597
2017-02-11,1599
2017-02-05,1553
2017-01-21,1545
2017-01-16,1586
2017-01-08,1588
2016-12-10,1599
2016-11-19,1584
2016-11-06,1576
2016-10-29,1583
2016-10-10,1598
2016-10-02,1470
2016-09-24,1463
2016-08-28,1498
2016-07-31,1434
2016-06-19,1468
2016-05-30,1430
2016-04-16,1441
2016-03-20,1473
2016-03-06,1477
2016-03-04,
2016-02-28,1505
2016-02-20,1516
2016-02-06,1371
2016-01-18,1338
2016-01-03,
2015-12-29,1318
2015-12-19,1352
2015-12-13,1309
2015-12-05,1225
2015-11-21,1226
2015-11-14,1198
2015-11-08,1190
2015-10-17,1199
2015-10-03,1183
2015-09-19,1203
2015-09-19,1205
2015-09-07,1193
2015-08-30,1149
2015-08-15,1156
2015-06-28,1147
2015-06-06,1134
2015-05-25,1168
2015-05-16,1170
2015-05-03,1160
2015-04-19,1115
2015-04-19,1099
2015-04-11,1110
2015-03-29,1140
2015-03-15,1078
2015-03-13,
2015-02-28,1065
2015-02-08,1008
2015-02-07,1077
2015-01-18,1044
2015-01-10,1034
2014-12-28,1030
2014-12-14,1007
2014-11-15,1001
2014-11-04,1044
2014-10-12,1029
2014-09-07,1028
2014-08-10,842
2014-07-22,
2014-07-21,
2014-07-20,747 (P23)
2014-07-18,
2014-07-18,682 (P19)
2014-07-17,
2014-07-16,
2014-07-14,
2014-07-08,
2014-07-07,
2014-06-22,593 (P15)
2014-06-08,398 (P11)
2014-05-17,330 (P7)
2014-03-08,130 (P3)
