,Date,Rating
0,2020-03-08,1745
2,2020-02-08,1748
3,2019-12-30,1779
4,2019-11-27,1815
5,2019-09-01,1799
6,2019-08-25,1770
7,2019-07-20,1784
8,2019-05-27,1806
9,2019-04-21,1844
10,2019-03-24,1836
11,2019-03-10,1810
13,2019-02-24,1813
14,2019-02-03,1816
15,2019-01-27,1826
16,2018-12-30,1804
17,2018-12-22,1807
18,2018-11-18,1819
19,2018-10-21,1820
20,2018-08-26,1815
21,2018-08-19,1792
22,2018-07-22,1781
23,2018-07-15,1767
24,2018-06-17,1756
25,2018-06-10,1762
26,2018-05-28,1744
27,2018-05-28,1734
28,2018-05-20,1738
29,2018-05-13,1744
30,2018-04-29,1741
31,2018-03-31,1744
32,2018-03-25,1728
33,2018-03-18,1744
34,2018-03-04,1734
36,2018-02-18,1748
37,2018-02-17,1748
38,2018-02-10,1717
39,2018-01-28,1715
40,2018-01-20,1715
41,2018-01-15,1656
42,2018-01-07,1647
43,2017-12-30,1629
44,2017-11-19,1564
45,2017-11-12,1571
46,2017-11-04,1564
47,2017-10-28,1592
48,2017-10-22,1584
49,2017-10-09,1599
50,2017-09-10,1604
52,2017-06-18,1623
53,2017-06-03,1613
54,2017-05-29,1557
55,2017-05-21,1540
56,2017-05-14,1529
57,2017-04-23,1571
58,2017-04-08,1570
59,2017-04-01,1606
60,2017-03-26,1613
61,2017-03-19,1649
62,2017-03-12,1623
64,2017-03-04,1574
65,2017-02-26,1597
66,2017-02-11,1599
67,2017-02-05,1553
68,2017-01-21,1545
69,2017-01-16,1586
70,2017-01-08,1588
71,2016-12-10,1599
72,2016-11-19,1584
73,2016-11-06,1576
74,2016-10-29,1583
75,2016-10-10,1598
76,2016-10-02,1470
77,2016-09-24,1463
78,2016-08-28,1498
79,2016-07-31,1434
80,2016-06-19,1468
81,2016-05-30,1430
82,2016-04-16,1441
83,2016-03-20,1473
84,2016-03-06,1477
86,2016-02-28,1505
87,2016-02-20,1516
88,2016-02-06,1371
89,2016-01-18,1338
91,2015-12-29,1318
92,2015-12-19,1352
93,2015-12-13,1309
94,2015-12-05,1225
95,2015-11-21,1226
96,2015-11-14,1198
97,2015-11-08,1190
98,2015-10-17,1199
99,2015-10-03,1183
100,2015-09-19,1203
101,2015-09-19,1205
102,2015-09-07,1193
103,2015-08-30,1149
104,2015-08-15,1156
105,2015-06-28,1147
106,2015-06-06,1134
107,2015-05-25,1168
108,2015-05-16,1170
109,2015-05-03,1160
110,2015-04-19,1115
111,2015-04-19,1099
112,2015-04-11,1110
113,2015-03-29,1140
114,2015-03-15,1078
116,2015-02-28,1065
117,2015-02-08,1008
118,2015-02-07,1077
119,2015-01-18,1044
120,2015-01-10,1034
121,2014-12-28,1030
122,2014-12-14,1007
123,2014-11-15,1001
124,2014-11-04,1044
125,2014-10-12,1029
126,2014-09-07,1028
127,2014-08-10,842
130,2014-07-20,747 (P23)
132,2014-07-18,682 (P19)
138,2014-06-22,593 (P15)
139,2014-06-08,398 (P11)
140,2014-05-17,330 (P7)
141,2014-03-08,130 (P3)
